,stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id,count
1241,49.17703,54984.0,-122.86091,5036,,,,Eastbound 96 Ave @ 130A St,0,BUS ZN,32
1242,49.177019,54985.0,-122.855987,5037,,,,Eastbound 96 Ave @ 132 St,0,BUS ZN,32
1243,49.177067,54982.0,-122.867433,5034,,,,Eastbound 96 Ave @ 128 St,0,BUS ZN,32
1244,49.238821,53559.0,-122.834253,3598,,,,Southbound Mundy St @ Leclair Dr,0,BUS ZN,36
1245,49.177099,54980.0,-122.87666,5032,,,,Eastbound 96 Ave @ 125 St,0,BUS ZN,32
1246,49.177077,54981.0,-122.872995,5033,,,,Eastbound 96 Ave @ 126 St,0,BUS ZN,32
1247,49.177087,54978.0,-122.884175,5030,,,,Eastbound 96 Ave @ 122 St,0,BUS ZN,65
1248,49.177099,54979.0,-122.879647,5031,,,,Eastbound 96 Ave @ 124 St,0,BUS ZN,32
1249,49.329875,54386.0,-123.10276,4435,,,,Westbound W 22 St @ Cortell St,0,BUS ZN,52
1250,49.328369,54385.0,-123.101386,4434,,,,Northbound Mackay Ave @ 2000 Block,0,BUS ZN,52
1251,49.329962,54388.0,-123.107885,4437,,,,Westbound W 22 St @ Pemberton Ave,0,BUS ZN,52
1252,49.329944,54387.0,-123.105226,4436,,,,Westbound W 22 St @ Lloyd Ave,0,BUS ZN,52
1253,49.322273,54381.0,-123.097423,4430,,,,Westbound Marine Dr @ Hanes Ave,0,BUS ZN,200
1254,49.326757,54384.0,-123.10052,4433,,,,Northbound Mackay Ave @ W 19 St,0,BUS ZN,52
1255,49.323926,54383.0,-123.101015,4432,,,,Northbound Mackay Ave @ Marine Dr,0,BUS ZN,52
1256,49.329912,54390.0,-123.112618,4439,,,,Eastbound W 22 St @ Philip Ave,0,BUS ZN,53
1257,49.330029,54389.0,-123.113635,4438,,,,Westbound W 22 St @ Philip Ave,0,BUS ZN,52
1258,49.252727,50968.0,-123.066107,977,,,,Southbound Victoria Dr @ Victoria Diversion,0,BUS ZN,100
1259,49.253864,50967.0,-123.067594,976,,,,Southbound Victoria Diversion @ Commercial St,0,BUS ZN,100
1260,49.257485,58093.0,-123.069954,974,,,,Southbound Commercial Dr @ E 14 Ave,0,BUS ZN,100
1261,49.259177,58092.0,-123.06995,973,,,,Southbound Commercial Dr @ E 12 Ave,0,BUS ZN,100
1262,49.261929,50963.0,-123.069913,972,,,,Commercial-Broadway Station @ Bay 2,0,BUS ZN,100
1263,49.281228,50961.0,-123.052402,970,,,,Westbound E Hastings St @ Penticton St,0,BUS ZN,159
1264,49.268415,60570.0,-123.177316,12811,,,,Eastbound W 4th Ave @ Blenheim St,0,BUS ZN,145
1265,49.203882,51423.0,-122.914965,1435,,,,Southbound 8th St @ Royal Ave,0,BUS ZN,91
