,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,count
1302,WELLEXE2,1941,Wellington at Exeter SB - #1941,,42.927087,-81.2183,,,,,,0,0
1303,WELLGRA1,1942,Wellington at Grand Ave NB - #1942,,42.972393,-81.238086,,,,,,0,0
1304,WELLGRA2,1943,Wellington at Grand SB - #1943,,42.972119,-81.23806,,,,,,0,0
1305,WELLGRE1,1944,Wellington at Grey St NB - #1944,,42.978105,-81.241688,,,,,,0,0
1306,WELLGRE2,1945,Wellington at Grey SB - #1945,,42.977378,-81.241642,,,,,,0,0
1307,WELLHOR1,1947,Wellington North of Horton NB - #1947,,42.98049,-81.242866,,,,,,0,0
1308,WELLHOR2,1948,Wellington at Horton SB - #1948,,42.979808,-81.242895,,,,,,0,0
1309,WELLHOR3,1949,Wellington South of Horton  NB - #1949,,42.979975,-81.242637,,,,,,0,0
1310,WELLMCL1,1950,Wellington at McClary AVE NB - #1950,,42.970589,-81.236686,,,,,,0,0
1311,WELLMON1,1952,Wellington at Montgomery Gate NB - #1952,,42.939082,-81.224643,,,,,,0,0
1312,WELLMON2,1953,Wellington South of Montgomery Gate SB - #1953,,42.936868,-81.224381,,,,,,0,0
1313,WELLMON4,1954,Wellington North of Montgomery G.t SB - #1954,,42.939705,-81.225036,,,,,,0,0
1314,WELLNAD1,1956,705 Wellington SB - #1956,,42.94844,-81.228036,,,,,,0,0
1315,WELLNADI,1957,Wellington at Creston SB - #1957,,42.946946,-81.227657,,,,,,0,0
1316,WELLPERC,1958,Wellington at Percy SB - #1958,,42.963536,-81.231625,,,,,,0,0
1317,WELLQUE2,1960,Wellington at Queens Ave SB - #1960,,42.985598,-81.245841,,,,,,0,0
1318,WELLRAYW,1961,Wellington at Raywood NB - #1961,,42.968293,-81.233614,,,,,,0,0
1319,WELLSDA1,1963,Wellington South of Southdale NB - #1963,,42.942563,-81.225428,,,,,,0,0
1320,WELLSDA2,1964,Wellington at Southdale SB - #1964,,42.944319,-81.226408,,,,,,0,0
1321,WELLSDA3,1965,Wellington North of Southdale Rd NB - #1965,,42.944743,-81.22623,,,,,,0,0
1322,WELLSOU1,1968,Wellington at  South St NB - #1968,,42.975691,-81.240519,,,,,,0,0
1323,WELLSOU2,1969,Wellington at South SB - #1969,,42.975173,-81.240561,,,,,,0,0
1324,WELLTHJA,1970,Wellington at Thomas Janes SB - #1970,,42.965569,-81.232118,,,,,,0,0
1325,WELLWAT1,1971,Wellington at Waterman NB - #1971,,42.956452,-81.229685,,,,,,0,0
1326,WELLWAT2,1972,Wellington at Waterman SB - #1972,,42.954466,-81.229486,,,,,,0,0
1327,WELLWELL,1974,Wellington at Wellington Cres SB - #1974,,42.968432,-81.234085,,,,,,0,0
1328,WELLWIL1,1975,Wellington South of Wilkins St NB - #1975,,42.951107,-81.228451,,,,,,0,0
1329,WELLWIL3,1977,Wellington North of Wilkins NB - #1977,,42.9546,-81.229335,,,,,,0,0
1330,WELLWIL4,1978,Wellington South of Wilkins SB - #1978,,42.951023,-81.228688,,,,,,0,0
1331,WELLYOR1,1979,Wellington at York NB - #1979,,42.982917,-81.244106,,,,,,0,0
1332,WELLYOR2,1980,Wellington at York SB - #1980,,42.982963,-81.244483,,,,,,0,0
1333,WESTAMB1,1983,Western at Ambleside Dr NB - #1983,,43.015448,-81.276724,,,,,,0,0
